,artist.inverted,track,time,genre,date.entered,date.peaked,week,no.
0,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x1st.week,100.0
1,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x2nd.week,99.0
2,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x3rd.week,96.0
3,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x4th.week,76.0
4,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x5th.week,55.0
5,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x6th.week,37.0
6,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x7th.week,24.0
7,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x8th.week,24.0
8,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x9th.week,30.0
9,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x10th.week,36.0
10,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x11th.week,37.0
11,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x12th.week,30.0
12,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x13th.week,23.0
13,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x14th.week,21.0
14,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x15th.week,17.0
15,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x16th.week,17.0
16,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x17th.week,15.0
17,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x18th.week,11.0
18,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x19th.week,11.0
19,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x20th.week,10.0
20,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x21st.week,7.0
21,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x22nd.week,7.0
22,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x23rd.week,8.0
23,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x24th.week,10.0
24,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x25th.week,11.0
25,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x26th.week,12.0
26,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x27th.week,12.0
27,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x28th.week,17.0
28,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x29th.week,19.0
29,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x30th.week,23.0
30,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x31st.week,33.0
31,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x32nd.week,37.0
32,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x33rd.week,36.0
33,Nelly,(Hot S**t) Country Grammar,4:17,Rap,2000-04-29,2000-09-16,x34th.week,49.0
34,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x1st.week,97.0
35,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x2nd.week,97.0
36,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x3rd.week,89.0
37,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x4th.week,89.0
38,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x5th.week,94.0
39,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x6th.week,90.0
40,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x7th.week,99.0
41,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x8th.week,97.0
42,Nu Flavor,3 Little Words,3:54,R&B,2000-06-03,2000-06-17,x9th.week,98.0
43,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x1st.week,77.0
44,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x2nd.week,74.0
45,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x3rd.week,64.0
46,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x4th.week,61.0
47,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x5th.week,53.0
48,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x6th.week,48.0
49,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x7th.week,43.0
50,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x8th.week,38.0
51,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x9th.week,42.0
52,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x10th.week,38.0
53,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x11th.week,44.0
54,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x12th.week,49.0
55,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x13th.week,53.0
56,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x14th.week,61.0
57,"Jean, Wyclef",911,4:00,Rap,2000-10-07,2000-11-25,x15th.week,66.0
